,PassengerId,family_cnt,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,title_Master,title_Miss,title_Mr,title_Mrs,title_rare,family_type_big,family_type_middle,family_type_sigle,cabin_type_A,cabin_type_B,cabin_type_C,cabin_type_D,cabin_type_E,cabin_type_F,cabin_type_O,cabin_type_n,Fare_scaled,family_cnt_scaled,SibSp_scaled,Parch_scaled,Age_type_adult,Age_type_child,Age_type_old,Age_scaled
19,20,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.5037744195548081,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.6878412077281499
20,21,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.14077420307613292,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.37978905534982804
21,22,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.3921192264701557,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.30619258171781955
22,23,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4882258297230025,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-1.0921404172903422
23,24,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.042901006327191425,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.13538626007423155
24,25,5,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.23599529847733,1.9684473254677004,2.4020368369913165,0.7107630931786129,0,1,0,-1.6073157327144019
25,26,7,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.036611025111879254,3.2318440153609194,0.481287771858981,5.333813473157765,1,0,0,0.6005784762458536
26,27,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.5037744195548081,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.17536331689760046
27,28,6,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.44143891572259,2.6001456704143098,2.4020368369913165,1.8665256881734007,1,0,0,-0.7977545227623082
28,29,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4911259646083181,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.6306592862862922
29,30,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4908050163476765,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.18198350664613103
30,31,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.10750385567179178,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.7477714235098706
31,32,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2.189402973498201,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,0.7410925435277659
32,33,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.49362394745620336,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.2719074489693329
33,34,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.44045480789208313,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,0,0,1,2.661279737942092
34,35,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9452451076977882,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-0.13538626007423155
35,36,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.36191584371191265,0.07335229062787217,0.481287771858981,-0.444999501816175,0,0,1,0.8949643707738876
36,37,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.5036932157780193,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.4517097539339567
37,38,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.6505615754982911
38,39,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.29544806362630077,0.7050506355744817,1.4416623044251486,-0.444999501816175,1,0,0,-0.8713509963943167
39,40,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.42611460759582565,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-1.1657368909223507
40,41,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.4602723962750734,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,0.7477714235098706
41,42,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.23744536591998783,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-0.20898273370624004
42,43,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4908050163476765,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.1634416760754155
43,44,4,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.16043767295926398,1.3367489805210908,0.481287771858981,1.8665256881734007,0,1,0,-1.9752981008744444
44,45,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4911259646083181,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.7977545227623082
45,46,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.0053246767059859776
46,47,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3437836450482282,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,0.5601226589426536
47,48,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.49362394745620336,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.2719074489693329
48,49,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.22431355515927853,0.7050506355744817,1.4416623044251486,-0.444999501816175,1,0,0,-0.5302382188756493
49,50,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.29931491014005496,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-0.8713509963943167
50,51,6,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.12386310520891992,2.6001456704143098,3.3624113695574844,0.7107630931786129,0,1,0,-1.6809122063464104
51,52,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4926572358277648,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.6505615754982911
52,53,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.8400359477515641,0.07335229062787217,0.481287771858981,-0.444999501816175,0,0,1,1.4101396861979472
53,54,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.14077420307613292,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-0.06178978644222302
54,55,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.554856017362192,0.07335229062787217,-0.47908676070718687,0.7107630931786129,0,0,1,2.5876832643100833
55,56,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.042901006327191425,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,0,0,1,1.3188395808337585
56,57,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.44045480789208313,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.6505615754982911
57,58,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.5036932157780193,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.09858802325822728
58,59,4,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.10693929608078369,1.3367489805210908,0.481287771858981,1.8665256881734007,0,1,0,-1.8281051536104274
59,60,8,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2633112576111806,3.8635423603075285,4.322785902123652,1.8665256881734007,0,1,0,-1.3865263118183762
60,61,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.5036932157780193,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.5769651018662826
61,62,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.9032743556375001,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.6005784762458536
62,63,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.9704608138139792,0.07335229062787217,0.481287771858981,-0.444999501816175,0,0,1,1.1157537916699132
63,64,6,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.10403916119546806,2.6001456704143098,2.4020368369913165,1.8665256881734007,0,1,0,-1.9017016272424359
64,65,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.10750385567179178,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.4856340063099528
65,66,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.34869840696720983,0.7050506355744817,0.481287771858981,0.7107630931786129,0,1,0,-1.7220353340944097
66,67,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-0.44045480789208313,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.06178978644222302
67,68,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48572978029837416,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.7977545227623082
68,69,7,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.4902404567566684,3.2318440153609194,3.3624113695574844,1.8665256881734007,1,0,0,-0.9449474700263252
69,70,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4759814602371998,0.7050506355744817,1.4416623044251486,-0.444999501816175,1,0,0,-0.28257920733824854
70,71,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.44045480789208313,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.1589996344538025
71,72,8,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2633112576111806,3.8635423603075285,4.322785902123652,1.8665256881734007,1,0,0,-1.0185439436583337
72,73,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.7776018439404888,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.6505615754982911
73,74,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3640033854686489,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-0.28257920733824854
74,75,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4488386864945933,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.1589996344538025
75,76,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.4955573707130805,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.3561756809702571
76,77,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4908050163476765,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.18198350664613103
77,78,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.0053246767059859776
78,79,3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.08277150536981996,0.7050506355744817,-0.47908676070718687,1.8665256881734007,0,1,0,-2.1350024486559027
79,80,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.40226969856876044,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.011806687189785487
80,81,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4694561567452396,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.5769651018662826
81,82,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4597890404608541,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.06178978644222302
82,83,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4928989137348744,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.5656498903907965
83,84,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.26717810412493487,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.13538626007423155
84,85,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.44045480789208313,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.9449474700263252
85,86,4,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.33701666364915833,1.3367489805210908,2.4020368369913165,-0.444999501816175,1,0,0,0.23259610808581102
86,87,5,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.02114999468732407,1.9684473254677004,0.481287771858981,3.022288283168189,1,0,0,-1.0185439436583337
87,88,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.0053246767059859776
88,89,6,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.44143891572259,2.6001456704143098,2.4020368369913165,1.8665256881734007,1,0,0,-0.5033686282342741
89,90,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.4297721546022656
90,91,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.06178978644222302
91,92,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4916093204225374,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.7241580491302996
92,93,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5393074275303864,0.07335229062787217,0.481287771858981,-0.444999501816175,0,0,1,1.1893502653019217
93,94,4,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.2456624147617155,1.3367489805210908,0.481287771858981,1.8665256881734007,1,0,0,-0.28257920733824854
94,95,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.5032910637405889,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,0,0,1,2.1461044225180324
95,96,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.0053246767059859776
96,97,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.02654811242052499,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,0,0,1,3.0292621061021343
97,98,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5815198574977841,0.07335229062787217,-0.47908676070718687,0.7107630931786129,1,0,0,-0.5033686282342741
98,99,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.19877690078244586,0.07335229062787217,-0.47908676070718687,0.7107630931786129,1,0,0,0.30619258171781955
99,100,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.14077420307613292,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,0.30619258171781955
100,101,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4908050163476765,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.13538626007423155
101,102,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4908050163476765,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.18198350664613103
102,103,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.8508302497947088,0.07335229062787217,-0.47908676070718687,0.7107630931786129,1,0,0,-0.6505615754982911
103,104,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4761419343675206,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.23259610808581102
104,105,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4902404567566684,0.7050506355744817,1.4416623044251486,-0.444999501816175,1,0,0,0.5269820026138451
105,106,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4908050163476765,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.13538626007423155
106,107,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4955573707130805,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.6505615754982911
107,108,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4931405916419841,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.15788942048667212
108,109,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4908050163476765,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.6005784762458536
109,110,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.17654253332835926,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-0.8567038524965298
110,111,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.36191584371191265,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,0,0,1,1.2629467389339302
111,112,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3640033854686489,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-1.1289386541063464
112,113,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.5769651018662826
113,114,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.45350541487600354,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-0.7241580491302996
114,115,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.3639241151151169,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.9449474700263252
115,116,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.4902404567566684,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,-0.6505615754982911
116,117,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.49362394745620336,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,0,0,1,2.99246386928613
117,118,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.23744536591998783,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,-0.06178978644222302
118,119,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4.14216046294407,0.07335229062787217,-0.47908676070718687,0.7107630931786129,1,0,0,-0.4297721546022656
119,120,7,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.038786126275866,3.2318440153609194,3.3624113695574844,1.8665256881734007,0,1,0,-2.048894574506453
120,121,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.7776018439404888,0.7050506355744817,1.4416623044251486,-0.444999501816175,1,0,0,-0.6505615754982911
121,122,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48782367768557205,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.0053246767059859776
122,123,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.062068409135180025,0.07335229062787217,0.481287771858981,-0.444999501816175,1,0,0,0.19579787126980677
123,124,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.3921192264701557,-0.5583460543187373,-0.47908676070718687,-0.444999501816175,1,0,0,0.19579787126980677
124,125,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.8508302497947088,0.07335229062787217,-0.47908676070718687,0.7107630931786129,0,0,1,1.7781220543579896
125,126,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.42611460759582565,0.07335229062787217,0.481287771858981,-0.444999501816175,0,1,0,-1.3129298381863677
